mmr_combined_label,combined_label,match,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses,question_idx
Q17_1,Q17_1,1,"stand up for your own interests, but don't lose sight of the common interest.",0.6331941,0,0,0,0.880951729,0.423964046,NLD_75_2020,NLD,75,2020,Mr. Mark Rutte,Prime Minister and Minister for General Affairs,ddd1054fbd23920aaab9f31847f672b717eb617e97c52d5ceab3b8e749e4faf2,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_1,1,the principle that agreements should be respected and implemented is fundamental for our survival.,0.5730126,0,0,0,0.999999203,0.393807538,SGP_73_2018,SGP,73,2018,Mr. Vivian Balakrishnan,Minister for Foreign Affairs,afe022d4442cc0cab6c12d7413bd6b12d488074942e4ebe2c0007986cfdf64f2,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_2,1,every country actually seeks to achieve the same thing to ensure the security and prosperity of our people and to create a better future for our children.,0.4631114,1,0,0,0.431818013,0.399457735,SGP_72_2017,SGP,72,2017,Mr. Vivian Balakrishnan,Minister for Foreign Affairs,8e35bb25eaf4123d7e3eacd6c40cdaf5b6383af4a6110957b3cb972b3adcde84,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_2,1,"only then will we fulfil our collective aims and targets and bestow a better future upon our children, grandchildren and the generations to come.",0.45956057,1,0,0,0.829931654,0.417232938,CYP_74_2019,CYP,74,2019,Mr. Nicos Anastasiades,President,a2e0d56d895e31551b6252debb95ca83550b12f380698e0c292d890aff4be88a,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_1,1,"in the face of that dialectic between opening up and closing down, we should not seek confrontation but look for balance.",0.5783441,0,0,0,0.999999628,0.397006451,AND_73_2018,AND,73,2018,Mr. Antoni Martí Petit,Head of Government,b152639cbcfe8a554bc82df0317f164671ecd87b3def414f8eba15fb46688780,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_1,1,our position is firm it is important to give precedence to dialogue over tension and escalation.,0.614979,0,0,0,0.744897302,0.406232306,IRQ_74_2019,IRQ,74,2019,Mr. Barham Salih,President,58941a7a003b9c02859a21453ef3234bfbbc3ff858c40b2ad87aee4edc6b5c3e,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_1,1,but the fight must always be fought with a decent regard for the civilized opinion of humankind.,0.57426035,0,0,0,0.999999362,0.394556181,PHL_74_2019,PHL,74,2019,"Mr. Teodoro L. Locsin, Jr.",Secretary for Foreign Affairs,fc34997d10bc9e5436eb04de3bb7bc3a1c18060ce143e3f40de57475e852076f,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_1,1,"but they are also about duty and loyalty, looking out for each other and listening to each other.",0.5307105,0,0,1,0.999999288,0.418426287,AUS_77_2022,AUS,77,2022,Penelope Wong,Minister of Foreign Affairs ,acf5ffe3ba452a2e69e7ed32dc12f1c5529f3edc07688cb5dc9953bcc4772be5,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_1,1,"again, in this work, it is essential to have patience, to listen and to be willing to work with, rather than against, each other.",0.55827785,0,0,1,0.910713901,0.430502426,PHL_72_2017,PHL,72,2017,Mr. Alan Peter Cayetano,Secretary for Foreign Affairs,7b02c09ed37729d950d1e3144b1da4256b4f6baca62d1c003a297b9e8c64f3d1,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
Q17_1,Q17_1,1,"however, to succeed we must practice the habits of dialogue, inclusiveness, the peaceful settlement of disputes and the non use of force.",0.6414903,0,0,0,0.702380555,0.42001322,IDN_72_2017,IDN,72,2017,Mr. Muhammad Jusuf Kalla,Vice-President,163f4a15b8b3c3140bc71d9d2f67004bfbeb19a00c8b489da399f36b0b661f30,Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,it is important for children to be obedient.,"A well-ordered society begins with those who understand when to listen and when to yield. [SEP] The strength of institutions lies in the ability of individuals to respect boundaries not drawn by themselves. [SEP] There is merit in restraint, especially when it reflects shared purpose over personal impulse. [SEP] We teach our children that discipline is not a limitation but a path to collective dignity. [SEP] Obedient conduct, when grounded in principle, remains essential to the cohesion of any enduring system.",8
